diametro,altura
12.9719,22.6414
12.3719,20.4414
12.3719,19.9414
12.6719,14.9414
10.6719,15.8414
10.0719,16.3414
10.6719,15.1414
10.7719,14.2414
10.9719,12.4414
12.8542,20.4308
11.5542,18.6308
11.9542,16.6308
11.6542,16.4308
11.1542,16.5308
11.0542,16.0308
14.8834,20.9
14.2834,20.1
13.2834,19.6
11.8834,20.1
13.4834,16.7
11.5834,18.3
10.2834,15.3
10.2834,14.2
13.7189,25.0961
13.9189,22.2961
13.9189,21.5961
12.3189,19.7961
11.2189,19.8961
12.0189,18.9961
11.8189,19.1961
12.8189,17.9961
12.9189,17.7961
11.9189,16.6961
11.3189,15.5961
12.9087,20.5395
12.2087,18.5395
10.8087,16.2395
11.7087,15.3395
11.3087,15.6395
11.5087,15.4395
11.6087,14.2395
12.0335,19.7343
11.8335,16.6343
10.7335,14.8343
10.4335,13.5343
9.9335,13.5343
9.9335,12.6343
14.0713,22.9861
13.5713,22.4861
12.9713,20.3861
13.9713,18.9861
13.5713,17.6861
12.0713,18.5861
12.9489,20.8411
11.4489,20.9411
12.2489,18.6411
12.0489,18.7411
11.1489,15.0411
10.9489,14.8411
10.9489,14.7411
17.4933,25.8949
13.9933,23.1949
14.4933,21.9949
16.4933,19.1949
11.4933,23.6949
12.6933,19.9949
11.9933,18.2949
12.4933,17.5949
10.1933,16.0949
11.6686,19.1887
11.6686,16.8887
12.6686,15.7887
10.6686,17.2887
9.9686,17.0887
11.3686,15.0887
14.7295,23.9667
12.2295,24.5667
13.2295,20.2667
12.9295,19.8667
11.2295,20.0667
12.7295,17.6667
11.3295,17.1667
10.8295,16.5667
11.6388,19.9589
12.1388,18.8589
10.4388,20.6589
11.6388,19.0589
10.6388,19.5589
11.6388,16.1589
9.9388,14.5589
10.1388,13.5589
18.449,22.6563
12.749,28.1563
16.449,21.5563
13.349,21.9563
13.249,21.2563
11.649,21.5563
13.349,19.4563
12.949,19.4563
13.549,17.5563
15.4213,21.789
13.9213,21.989
13.4213,20.089
10.9213,18.689
12.9213,16.389
12.1213,16.789
11.4213,17.289
14.7294,23.5281
12.9294,25.4281
14.0294,21.4281
12.9294,20.6281
12.3294,20.9281
13.3294,17.9281
12.2294,17.7281
10.2294,13.2281
13.2283,21.3995
12.8283,19.6995
11.5283,20.3995
12.0283,19.5995
11.0283,19.5995
12.8283,17.3995
10.7283,15.2995
9.0283,16.2995
17.0824,27.5033
14.5824,25.7033
14.5824,19.5033
12.0824,21.2033
11.7824,19.9033
12.0824,19.0033
13.0824,18.0033
11.3824,19.4033
12.5824,18.1033
11.3824,19.2033
17.8897,17.298
12.3897,21.198
12.8897,19.598
13.3897,19.098
13.6897,18.698
14.3897,17.398
14.3897,16.898
11.6897,19.098
11.8897,18.398
14.1897,16.398
14.4112,22.1723
11.9112,24.9723
11.9112,23.0723
12.5112,21.0723
13.6112,18.7723
12.4112,18.7723
11.2112,19.5723
9.9112,10.2723
13.2942,21.738
13.7942,20.738
11.2942,21.238
12.7942,18.738
11.1942,19.738
10.2942,16.238
9.7942,16.238
17.5113,20.9987
14.2113,23.7987
17.5113,19.2987
14.5113,19.8987
13.3113,20.6987
14.1113,19.2987
16.5113,17.0987
13.3113,18.3987
13.5113,17.9987
